Player,2024-2025_std_Pos,2024-2025_std_Age,2024-2025_std_Min,2024-2025_std_90s,2024-2025_poss_Att Pen,2024-2025_play_Min,2024-2025_play_90s,2025-2026_std_Pos,2025-2026_std_Age,2025-2026_std_Min,2025-2026_std_90s,2025-2026_poss_Att Pen,2025-2026_play_Min,2025-2026_play_90s,MarketValue,Season,Weekly_Gross_EUR,Yearly_Gross_EUR,Position,Age,Latest_Pos,Latest_Pos4,Age_latest,Minutes_2425,Minutes_2526,xG_plus_xAG_2425,xG_plus_xAG_2526,PrgPasses_25,PrgPasses_per90_25,FinalThirdTouches_25,FinalThirdTouches_per90_25,PrgPasses_26,PrgPasses_per90_26,FinalThirdTouches_26,FinalThirdTouches_per90_26
Jesus Rodríguez,,,,,,,,FW,19-316,389.0,4.3,2.0,389.0,4.3,,,,,,,FW,FW,19-316,,389.0,,,,,,,,,,
Jonathan Ikone,FW,26.0,540.0,6.0,4.0,540.0,6.0,,,,,,,,,,,,,,,,,540.0,,,,,,,,,,,
Luca Mazzitelli,MF,28.0,335.0,3.7,9.0,335.0,3.7,,,,,,,,,2024-2025,49808.0,2590000.0,M,28.0,,,,335.0,,,,,,,,,,,
Lucas Da Cunha,MF,23.0,2613.0,29.0,54.0,2613.0,29.0,MF,24-116,304.0,3.4,6.0,304.0,3.4,,2025-2026,,,,,MF,MF,24-116,2613.0,304.0,,,,,,,,,,
Marc-Oliver Kempf,DF,29.0,2615.0,29.1,305.0,2615.0,29.1,DF,30-248,405.0,4.5,52.0,405.0,4.5,,,,,,,DF,DF,30-248,2615.0,405.0,,,,,,,,,,
Marco Sala,DF,25.0,261.0,2.9,9.0,261.0,2.9,,,,,,,,,2025-2026,5385.0,280000.0,D,26.0,,,,261.0,,,,,,,,,,,
Martin Baturina,,,,,,,,MF,22-229,16.0,0.2,0.0,16.0,0.2,,2025-2026,17885.0,930000.0,M,22.0,MF,MF,22-229,,16.0,,,,,,,,,,
Matthias Braunöder,MF,22.0,268.0,3.0,4.0,268.0,3.0,,,,,,,,,2024-2025,,,,,,,,268.0,,,,,,,,,,,
Mauro Vigorito,GK,34.0,,,,,,GK,35-134,,,,,,,2025-2026,3269.0,170000.0,K,35.0,GK,GK,35-134,,,,,,,,,,,,
Maxence Caqueret,MF,24.0,1087.0,12.1,9.0,1087.0,12.1,MF,25-230,110.0,1.2,2.0,110.0,1.2,,2025-2026,128269.0,6670000.0,M,25.0,MF,MF,25-230,1087.0,110.0,,,,,,,,,,
Máximo Perrone,MF,21.0,1857.0,20.6,62.0,1857.0,20.6,MF,22-269,328.0,3.6,11.0,328.0,3.6,,2025-2026,,,,,MF,MF,22-269,1857.0,328.0,,,,,,,,,,
